ROI,stiffness,viscosity,MD,uFA,fw_frac,cond_aniso,E_ISO,E_DTI,E_MDdMRI,dE_model
L_SNc,2319,11.53,1.439,0.8194,0.1668,2.243,0.359,0.3887,0.3966,2.045
R_SNc,2560,11.67,1.574,0.7341,0.2347,1.979,0.3683,0.3722,0.3762,1.07
L_SNr,2400,14.95,1.362,0.8447,0.1404,2.367,0.3171,0.3118,0.3101,-0.5538
R_SNr,2624,13.3,1.419,0.7768,0.1857,2.091,0.3503,0.3492,0.3641,4.271
L_VTA,2238,8.672,1.539,0.7633,0.2134,2.035,0.326,0.3301,0.3356,1.668
R_VTA,2287,12.44,1.542,0.7538,0.215,1.903,0.3595,0.359,0.3608,0.525
L_PUT,3558,14.29,1.019,0.8842,0.04998,1.832,0.2947,0.3248,0.3314,2.054
R_PUT,3376,39.25,1.032,0.8934,0.04919,1.915,0.2594,0.245,0.2599,6.07
L_Ca,1800,15.77,1.188,0.8922,0.07487,2.119,0.2639,0.2729,0.2686,-1.564
R_Ca,1583,20.12,1.299,0.8444,0.1521,1.924,0.3166,0.3092,0.3166,2.386
L_GPe,3268,16.56,1.08,0.8775,0.06245,1.869,0.3603,0.3926,0.3584,-8.717
R_GPe,3009,28.35,1.214,0.8271,0.1458,1.922,0.308,0.3026,0.3085,1.948
L_GPi,2679,16.28,1.254,0.8485,0.1261,2.048,0.342,0.356,0.3527,-0.9164
R_GPi,2643,16.41,1.301,0.8132,0.1802,2.256,0.3537,0.3604,0.3234,-10.25
L_RN,2112,10.51,1.321,0.8259,0.1443,2.059,0.248,0.2462,0.2383,-3.236
R_RN,1937,12.24,1.329,0.7993,0.1589,1.939,0.2869,0.2883,0.2855,-0.9736
