ROI,ISO_median_Vm,DTI_median_Vm,DTI/ISO_ratio,MD-dMRI_median_Vm,MD-dMRI/ISO_ratio
L_SNc,0.37582,0.38526,1.0251,0.40685,1.0826
R_SNc,0.37748,0.37739,0.9997,0.37443,0.9919
L_SNr,0.30417,0.30143,0.991,0.29937,0.9842
R_SNr,0.3169,0.31044,0.9796,0.30295,0.956
L_VTA,0.33725,0.33057,0.9802,0.32145,0.9531
R_VTA,0.36275,0.36407,1.0036,0.36178,0.9973
L_PUT,0.30211,0.32383,1.0719,0.35991,1.1913
R_PUT,0.2516,0.23519,0.9348,0.23172,0.921
L_Ca,0.22826,0.23206,1.0166,0.24639,1.0794
R_Ca,0.31876,0.31739,0.9957,0.30649,0.9615
L_NAC,0.24479,0.26556,1.0848,0.28749,1.1744
R_NAC,0.34731,0.34562,0.9951,0.32313,0.9304
L_GPi,0.33486,0.33848,1.0108,0.31537,0.9418
R_GPi,0.36423,0.37494,1.0294,0.34188,0.9386
L_GPe,0.3508,0.36768,1.0481,0.33471,0.9541
R_GPe,0.34322,0.33506,0.9762,0.29899,0.8711
L_RN,0.32713,0.31601,0.966,0.30727,0.9393
R_RN,0.35583,0.34466,0.9686,0.33329,0.9367
